epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.221,0.90586,3.64309,1.14061,0.00473,0.63889,0.16552,0.13003,0.38783,3.44491,0.87249,7e-05,7e-05,7e-05
2,36.7215,0.82479,3.3798,1.07653,0.00467,0.79167,0.3355,0.26896,0.44159,3.36449,0.84503,0.000146287,0.000146287,0.000146287
3,55.5287,0.81874,2.82139,0.9955,0.00445,0.86111,0.40718,0.33085,0.41862,3.28285,0.82752,0.000218615,0.000218615,0.000218615
4,71.6956,0.89531,2.49833,1.03632,0.00494,0.95833,0.49751,0.39465,0.4913,3.11475,0.83569,0.000286983,0.000286983,0.000286983
5,83.8034,0.85806,2.07457,1.03125,0.0054,1,0.56695,0.46271,0.51318,2.92146,0.85207,0.00035139,0.00035139,0.00035139
6,97.3244,0.87608,1.59752,0.98061,1,0.13824,0.71043,0.58991,0.53688,2.57634,0.86397,0.000411837,0.000411837,0.000411837
7,112.906,0.78452,1.38052,0.96894,0.98851,0.44945,0.77689,0.65262,0.4221,2.5027,0.85101,0.000468325,0.000468325,0.000468325
8,126.03,0.7491,1.19159,0.97441,0.92909,0.59024,0.84954,0.70847,0.5306,2.13353,0.86551,0.000520852,0.000520852,0.000520852
9,138.902,0.79952,1.07455,1.00726,0.87967,0.61509,0.93563,0.78305,0.56635,1.76874,0.87358,0.00056942,0.00056942,0.00056942
10,150.99,0.76533,1.00038,0.9547,0.9282,0.62126,0.99119,0.78836,0.55641,1.60491,0.8736,0.000614028,0.000614028,0.000614028
11,163.497,0.84983,1.05618,0.99805,0.77215,0.78951,0.995,0.78279,0.56951,1.49268,0.89852,0.000654675,0.000654675,0.000654675
12,175.808,0.8301,1.03421,1.00626,0.86403,0.98863,0.995,0.79836,0.56218,1.32355,0.91283,0.000691363,0.000691363,0.000691363
13,188.386,0.75362,0.91178,0.98237,0.82738,0.95782,0.9831,0.76052,0.60165,1.31654,0.90233,0.000703,0.000703,0.000703
14,201.503,0.74615,0.93879,0.96165,0.83665,0.97921,0.995,0.78989,0.50122,1.14685,0.87127,0.00067825,0.00067825,0.00067825
15,214.471,0.75132,0.87194,0.95302,0.79128,1,0.91208,0.74909,0.49073,1.05497,0.85894,0.0006535,0.0006535,0.0006535
16,227.296,0.6923,0.81222,0.95406,0.94449,1,0.995,0.82998,0.47791,0.96983,0.86505,0.00062875,0.00062875,0.00062875
17,239.676,0.74383,0.84379,0.98884,0.95068,0.96828,0.995,0.8203,0.45456,0.94252,0.8733,0.000604,0.000604,0.000604
18,252.037,0.74823,0.8524,0.96371,0.9379,0.96424,0.995,0.82184,0.50971,0.9848,0.87018,0.00057925,0.00057925,0.00057925
19,264.129,0.70316,0.84561,0.94906,0.98342,0.96413,0.995,0.84522,0.51984,0.88866,0.85418,0.0005545,0.0005545,0.0005545
20,275.841,0.68592,0.78756,0.95471,0.94903,0.94112,0.995,0.85799,0.48361,0.7028,0.83561,0.00052975,0.00052975,0.00052975
21,288.046,0.71485,0.79022,0.96483,0.95487,0.96941,0.995,0.84492,0.4274,0.7253,0.81475,0.000505,0.000505,0.000505
22,300.41,0.63478,0.77558,0.93535,0.96973,0.9904,0.995,0.88078,0.40237,0.71982,0.81998,0.00048025,0.00048025,0.00048025
23,312.649,0.66432,0.76352,0.95812,0.96224,0.99436,0.995,0.82503,0.43702,0.68374,0.84172,0.0004555,0.0004555,0.0004555
24,324.647,0.66333,0.70201,0.93911,0.93016,0.99931,0.995,0.81946,0.42288,0.66339,0.84041,0.00043075,0.00043075,0.00043075
25,336.878,0.64533,0.71429,0.95015,0.93331,0.97597,0.995,0.83042,0.42019,0.63712,0.83478,0.000406,0.000406,0.000406
26,349.734,0.61666,0.68317,0.9282,0.94354,0.99664,0.995,0.83089,0.44485,0.66174,0.83526,0.00038125,0.00038125,0.00038125
27,362.997,0.60452,0.72422,0.90188,0.97593,0.9956,0.995,0.8349,0.46956,0.66182,0.84283,0.0003565,0.0003565,0.0003565
28,377.25,0.57213,0.66828,0.89081,0.98048,1,0.995,0.84773,0.44767,0.67654,0.84081,0.00033175,0.00033175,0.00033175
29,392.062,0.62051,0.72855,0.93292,0.98307,1,0.995,0.83577,0.44537,0.6748,0.84375,0.000307,0.000307,0.000307
30,408.322,0.57887,0.63277,0.89686,0.98179,1,0.995,0.83057,0.43381,0.63695,0.84486,0.00028225,0.00028225,0.00028225
31,421.417,0.51102,0.75349,0.86222,0.97659,1,0.995,0.83413,0.41023,0.664,0.84459,0.0002575,0.0002575,0.0002575
32,435.128,0.47464,0.67523,0.86567,0.96749,1,0.995,0.8394,0.36291,0.69715,0.83638,0.00023275,0.00023275,0.00023275
33,448.525,0.51532,0.74856,0.9011,0.96956,0.9982,0.995,0.8359,0.34713,0.62803,0.82249,0.000208,0.000208,0.000208
34,461.422,0.50883,0.67592,0.85307,0.97765,1,0.995,0.86201,0.38097,0.58458,0.8233,0.00018325,0.00018325,0.00018325
35,473.949,0.49499,0.67887,0.87264,0.97185,1,0.995,0.8387,0.42131,0.594,0.83155,0.0001585,0.0001585,0.0001585
36,486.414,0.46838,0.6379,0.84335,0.96166,1,0.995,0.83853,0.42547,0.60674,0.83053,0.00013375,0.00013375,0.00013375
37,499.542,0.44798,0.66989,0.84949,0.95583,1,0.995,0.8716,0.40726,0.59657,0.82063,0.000109,0.000109,0.000109
38,511.198,0.48061,0.63906,0.83887,0.95557,1,0.995,0.86555,0.40564,0.57244,0.81711,8.425e-05,8.425e-05,8.425e-05
39,523.391,0.45012,0.64286,0.84738,0.95794,1,0.995,0.87136,0.39592,0.54164,0.81485,5.95e-05,5.95e-05,5.95e-05
40,535.913,0.4395,0.6513,0.81793,0.96227,1,0.995,0.87124,0.38415,0.51928,0.81254,3.475e-05,3.475e-05,3.475e-05
